"","X","Y","Al","Co","Fe","Filler","Mg","Ni","Hard","Lcode","subset"
"8526",1250,700,2.5,0.059,12.4,70.554,13.6,0.887,2,"UM","training"
"8537",1250,750,2,0.017,8.6,71.181,17.8,0.402,3,"UM","training"
"8557",1250,850,5.4,0.005,11.1,82.08,1.33,0.085,1,"FZ","training"
"8573",1275,125,0.7,0.016,6.6,72.812,19.3,0.572,2,"SM","training"
"8599",1275,225,1.4,0.032,13.5,66.909,17.2,0.959,1,"SM","training"
"8617",1275,275,2.1,0.032,13.7,69.416,14.1,0.652,0,"UM","training"
"8637",1300,100,7.2,0.006,5.6,80.34,6.76,0.094,1,"SM","training"
"8655",1300,150,0.6,0.025,10.9,73.235,14.2,1.04,1,"SM","training"
"8678",1300,200,0.9,0.025,12.4,69.076,16.9,0.699,1,"SM","training"
"8691",1300,250,1.4,0.019,10.8,71.048,16.1,0.633,2,"UM","training"
"8715",1300,750,2,0.024,10.9,72.71,13.9,0.466,2,"SM","training"
"8733",1325,175,1.7,0.034,10.9,69.656,16.6,1.11,1,"SM","training"
"8750",1350,150,0.4,0.02,8.6,76.307,13.7,0.973,1,"SM","training"
"13435",50,225,0.5,0.013,10.7,73.486,14.8,0.501,1,"SM","validation"
"13436",50,275,2.7,0.801,19.6,70.029,4.9,1.97,1,"SM","validation"
"13437",75,100,0.4,0.014,6.1,77.021,16,0.465,0,"FZ","validation"
"13438",75,150,0.6,0.014,6.9,76.287,15.8,0.399,3,"SM","validation"
"13439",75,200,1.4,0.08,8.1,75.824,14,0.596,1,"SM","validation"
"13440",75,250,2.94,0.032,20.5,74.78,0.99,0.758,0,"SA","validation"
"13441",100,125,6.3,0.043,42.1,50.7,0.22,0.637,3,"FZ","validation"
"13442",100,225,2.4,0.113,26.2,64.997,4.64,1.65,1,"SM","validation"
"13443",100,275,2.5,0.514,27.8,65.326,1.93,1.93,2,"FZ","validation"
"13444",125,100,4.9,0.046,46.7,47.246,0.26,0.848,3,"FZ","validation"
"13445",125,150,6.1,0.04,42.8,50.041,0.51,0.509,2,"FZ","validation"
"13446",125,250,8,0.023,38.7,52.4,0.42,0.457,3,"FZ","validation"
"13447",125,350,0.7,0.011,9,73.854,16,0.435,0,"FZ","validation"
"13448",150,75,0.6,0.014,5.9,78.897,14.1,0.489,2,"SM","validation"
"13449",150,125,7.8,0.023,37.9,53.66,0.24,0.377,2,"FZ","validation"
"13450",150,175,7.26,0.032,36.72,55.282,0.23,0.476,0,"SA","validation"
"13451",150,225,7.1,0.021,40.4,51.769,0.35,0.36,3,"FZ","validation"
"13452",150,275,7.2,0.034,39.7,52.388,0.25,0.428,1,"FZ","validation"
"13453",150,325,5.2,0.057,35.3,57.113,1.32,1.01,1,"SA","validation"
"13454",175,50,0.5,0.015,6.3,77.687,15.1,0.398,1,"SM","validation"
"13455",175,100,0.2,0.032,5.7,84.584,9.13,0.354,2,"SM","validation"
"13456",175,150,11.6,0.016,36.3,51.473,0.28,0.331,2,"FZ","validation"
"13457",175,200,7.1,0.031,39.5,52.535,0.32,0.514,3,"FZ","validation"
"13458",175,300,8.4,0.025,35,56.025,0.22,0.33,2,"FZ","validation"
"13459",175,350,7.1,0.057,33.3,57.816,1.12,0.607,2,"FZ","validation"
"13460",200,75,0.6,0.015,6.5,77.854,14.6,0.431,1,"SM","validation"
"13461",200,125,0.5,0.075,9.6,72.275,16.3,1.25,1,"SM","validation"
"13462",200,175,8.2,0.024,38.4,52.691,0.33,0.355,3,"FZ","validation"
"13463",200,225,9.6,0.016,39,50.975,0.18,0.229,3,"FZ","validation"
"13464",200,275,6.25,0.022,32.75,60.429,0.24,0.309,0,"FZ","validation"
"13465",200,325,3,0.225,36.1,58.045,1.19,1.44,2,"SA","validation"
"13466",200,375,2.9,0.109,19,71.651,4.62,1.72,2,"SM","validation"
"13467",200,425,1.4,0.019,9.4,74.371,14.4,0.41,1,"SM","validation"
"13468",225,100,2.55,0.07,23.41,71.81,1.01,1.15,0,"SA","validation"
"13469",225,150,1.6,0.161,21.9,72.489,1.91,1.94,2,"SA","validation"
"13470",225,350,1.6,0.116,12.7,74.025,10.6,0.959,2,"SM","validation"
"13471",225,400,2.99,0.236,19.42,73.274,2.79,1.29,0,"SA","validation"
"13472",250,125,1,0.067,13.4,70.793,13.5,1.24,2,"SM","validation"
"13473",250,225,6.9,0.028,43,49.62,0.12,0.332,1,"FZ","validation"
"13474",250,275,10.3,0.014,34.3,54.914,0.29,0.182,3,"FZ","validation"
"13475",250,375,2.4,0.038,12.8,75.017,9.06,0.685,1,"SM","validation"
"13476",275,100,0.9,0.047,11.7,83.196,3.52,0.637,3,"SM","validation"
"13477",275,150,1,0.021,8.7,83.243,6.26,0.776,2,"SM","validation"
"13478",275,200,10.4,0.012,31.9,57.255,0.23,0.203,1,"FZ","validation"
"13479",275,250,9.2,0.026,32.1,58.357,0.11,0.207,3,"FZ","validation"
"13480",275,300,7,0.033,39.9,52.59,0.17,0.307,3,"FZ","validation"
"13481",275,350,1.6,0.126,12.7,71.224,13.3,1.05,1,"SM","validation"
"13482",275,400,2.5,0.031,5,75.337,16.8,0.332,2,"SM","validation"
"13483",300,175,0.5,0.053,5.4,86.271,7.19,0.586,3,"SM","validation"
"13484",300,225,9.7,0.014,34.2,55.75,0.11,0.226,3,"FZ","validation"
"13485",300,275,9.1,0.019,34.2,56.262,0.2,0.219,3,"FZ","validation"
"13486",300,325,7.14,0.021,35.45,57.039,0.15,0.2,0,"SA","validation"
"13487",325,150,0.7,0.03,11.3,73.27,13.6,1.1,1,"SM","validation"
"13488",325,200,6.2,0.017,19.4,72.103,0.8,1.48,2,"SA","validation"
"13489",325,250,9.3,0.014,39.7,50.537,0.12,0.329,3,"FZ","validation"
"13490",325,300,10,0.017,41.7,47.898,0.2,0.185,2,"FZ","validation"
"13491",325,350,0.9,0.029,14,67.908,16.2,0.963,1,"SM","validation"
"13492",325,400,11.9,0.036,4.5,76.479,6.83,0.255,1,"SM","validation"
"13493",350,125,1.3,0.027,11,70.939,15.8,0.934,2,"SM","validation"
"13494",350,225,7.1,0.048,42.7,49.23,0.21,0.712,3,"FZ","validation"
"13495",350,275,9.1,0.014,31.2,59.308,0.15,0.228,2,"FZ","validation"
"13496",350,375,1.3,0.027,10.4,73.609,14,0.664,2,"SM","validation"
"13497",375,100,1.3,0.017,7.8,71.079,19.3,0.504,2,"SM","validation"
"13498",375,150,0.8,0.022,8.4,70.852,19.2,0.726,2,"SM","validation"
"13499",375,250,10.89,0.023,31.52,57.093,0.17,0.304,0,"FZ","validation"
"13500",375,300,14.2,0.009,20.4,64.866,0.39,0.135,2,"FZ","validation"
"13501",375,350,6.6,0.031,40.9,51.572,0.28,0.617,3,"FZ","validation"
"13502",375,400,1.63,0.034,14.39,76.176,6.71,1.06,0,"SM","validation"
"13503",375,450,10.6,0.004,5.2,81.381,2.73,0.085,1,"SM","validation"
"13504",400,75,1.4,0.018,8.5,74.68,15,0.402,0,"UM","validation"
"13505",400,125,0.7,0.015,7.1,70.338,21.4,0.447,3,"UM","validation"
"13506",400,175,1,0.019,7.7,73.078,17.6,0.603,2,"SM","validation"
"13507",400,225,2,0.016,11.6,84.588,0.86,0.936,1,"SM","validation"
"13508",400,325,3.7,0.013,26,69.622,0.27,0.395,3,"FZ","validation"
"13509",400,375,0.7,0.019,9,77.622,12.1,0.559,2,"SM","validation"
"13510",400,425,3.5,0.327,23.9,68.203,2.33,1.74,1,"SM","validation"
"13511",425,150,1.1,0.021,7.2,73.903,17.1,0.676,3,"SM","validation"
"13512",425,200,2.4,0.026,8.3,75.311,13.2,0.763,2,"SM","validation"
"13513",425,300,7.5,0.028,39,52.975,0.11,0.387,2,"FZ","validation"
"13514",425,400,11.4,0.009,27.9,60.406,0.14,0.145,2,"FZ","validation"
"13515",450,175,0.73,0.024,8.93,75.148,14.53,0.638,0,"SM","validation"
"13516",450,225,6,0.017,38.5,55.047,0.21,0.226,2,"FZ","validation"
"13517",450,275,9.7,0.02,36.5,53.49,0.11,0.18,1,"FZ","validation"
"13518",450,325,8.89,0.019,35.36,55.288,0.22,0.223,0,"SA","validation"
"13519",450,375,2.7,0.048,17.4,76.852,1.6,1.4,1,"SM","validation"
"13520",450,425,10.9,0.016,28.5,60.277,0.14,0.167,1,"FZ","validation"
"13521",475,150,0.8,0.016,8.8,77.048,12.7,0.636,2,"SM","validation"
"13522",475,250,11,0.017,37.3,51.334,0.1,0.249,2,"FZ","validation"
"13523",475,350,9,0.013,36.2,54.234,0.18,0.373,2,"FZ","validation"
"13524",475,400,0.9,0.027,14.3,72.743,11,1.03,1,"SM","validation"
"13525",475,450,3.9,0.035,12.8,75.295,6.81,1.16,2,"SM","validation"
"13526",500,175,2,0.149,14.5,67.611,14.3,1.44,1,"SM","validation"
"13527",500,225,2.5,0.432,18.3,73.138,2.87,2.76,1,"SA","validation"
"13528",500,275,7.9,0.022,43.6,47.868,0.17,0.44,1,"FZ","validation"
"13529",500,325,9.1,0.01,32.7,57.737,0.18,0.273,2,"FZ","validation"
"13530",500,375,0.7,0.02,7.4,79.234,12.1,0.546,2,"SM","validation"
"13531",500,425,6.2,0.1,39.1,53.08,0.63,0.89,1,"FZ","validation"
"13532",525,150,0.5,0.018,7.7,74.56,16.6,0.622,2,"SM","validation"
"13533",525,200,10.5,0.016,27.1,61.974,0.19,0.22,1,"FZ","validation"
"13534",525,300,8,0.037,36.4,55.001,0.22,0.342,1,"FZ","validation"
"13535",525,350,8.9,0.02,25.7,64.246,0.51,0.624,2,"FZ","validation"
"13536",525,400,0.9,0.05,20.1,72.12,5.39,1.44,1,"SM","validation"
"13537",525,450,9,0.05,28,61.876,0.28,0.794,2,"SA","validation"
"13538",550,175,3.1,2.27,26.2,64.14,1.47,2.82,1,"SM","validation"
"13539",550,225,10.4,0.032,35.4,53.654,0.14,0.374,1,"FZ","validation"
"13540",550,275,7.9,0.031,36,55.548,0.18,0.341,2,"FZ","validation"
"13541",550,325,10.4,0.017,36.1,53.052,0.14,0.291,1,"FZ","validation"
"13542",550,425,4.8,0.251,47.1,46.638,0.32,0.891,1,"SM","validation"
"13543",575,100,3.4,0.009,10.2,75.587,10.6,0.204,1,"SM","validation"
"13544",575,150,1.1,0.046,8.7,70.098,19.2,0.856,2,"SM","validation"
"13545",575,200,10.1,0.019,29.9,59.086,0.5,0.395,2,"FZ","validation"
"13546",575,250,9,0.028,30,60.333,0.22,0.419,2,"FZ","validation"
"13547",575,300,9.9,0.008,34.2,55.76,0.07,0.062,2,"FZ","validation"
"13548",575,350,0.4,0.026,5.8,83.964,8.87,0.94,2,"SM","validation"
"13549",575,400,2,0.063,20.9,69.777,5.91,1.35,1,"SM","validation"
"13550",575,450,2.9,0.109,28.9,64.671,1.87,1.55,1,"SA","validation"
"13551",575,500,1.1,0.025,14.6,70.165,13.1,1.01,1,"SM","validation"
"13552",600,225,2,0.523,23.5,65.597,5.57,2.81,1,"SM","validation"
"13553",600,275,1.7,0.131,16.5,67.699,12.4,1.57,1,"SM","validation"
"13554",600,325,13.4,0.011,29.9,56.374,0.13,0.185,2,"FZ","validation"
"13555",600,375,0.3,0.015,6.1,88.71,4.53,0.345,3,"UM","validation"
"13556",600,475,1.4,0.025,11.5,71.512,14.8,0.763,2,"SM","validation"
"13557",600,525,0.5,0.02,8,76.807,14.1,0.573,1,"SM","validation"
"13558",625,150,3.2,0.005,7.5,79.428,9.65,0.217,1,"FZ","validation"
"13559",625,200,0.6,0.068,7.9,75.512,14.8,1.12,1,"SM","validation"
"13560",625,250,0.8,0.067,8.1,71.353,18.6,1.08,1,"SM","validation"
"13561",625,300,4.2,0.364,37.8,54.506,1.33,1.8,1,"FZ","validation"
"13562",625,350,0.5,0.075,6.8,85.228,6.48,0.917,2,"SM","validation"
"13563",625,400,0.5,0.018,7.1,86.01,5.98,0.392,2,"SM","validation"
"13564",625,450,0.4,0.019,7.9,83.339,7.88,0.462,1,"SM","validation"
"13565",625,500,1,0.018,7.9,75.047,15.4,0.635,2,"SM","validation"
"13566",625,550,1.3,0.016,6.6,71.426,20.1,0.558,2,"SM","validation"
"13567",650,175,3.8,0.187,25.7,63.243,5.96,1.11,1,"SM","validation"
"13568",650,225,3.5,0.321,48.6,45.909,0.37,1.3,1,"FZ","validation"
"13569",650,275,0.9,0.028,9.5,75.532,13,1.04,1,"SM","validation"
"13570",650,325,7.9,0.017,35.7,55.914,0.23,0.239,2,"FZ","validation"
"13571",650,425,2.2,0.044,11.3,77.851,7.63,0.975,1,"SM","validation"
"13572",650,525,2.6,0.093,20.1,68.067,7.88,1.26,1,"FZ","validation"
"13573",675,150,0.7,0.043,9,70.628,18.7,0.929,1,"SM","validation"
"13574",675,200,6.7,0.025,39.1,53.258,0.43,0.487,1,"FZ","validation"
"13575",675,300,6.9,0.035,44.1,48.178,0.19,0.597,3,"FZ","validation"
"13576",675,400,0.9,0.021,8.8,77.032,12.6,0.647,1,"SM","validation"
"13577",675,450,2.5,0.049,12.7,68.311,15.3,1.14,1,"SM","validation"
"13578",675,550,1.1,0.021,8.1,70.484,19.6,0.695,3,"UM","validation"
"13579",700,175,1.8,0.02,16.2,79.383,1.79,0.807,1,"SA","validation"
"13580",700,225,0.6,0.05,7.5,71.313,19.6,0.937,1,"SM","validation"
"13581",700,275,6.8,0.146,24.7,64.204,2.74,1.41,1,"FZ","validation"
"13582",700,325,6.8,0.033,43.2,49.184,0.37,0.413,1,"FZ","validation"
"13583",700,375,6.9,0.026,36.5,55.809,0.18,0.585,3,"FZ","validation"
"13584",700,475,1.2,0.025,9.8,76.292,11.8,0.883,1,"SM","validation"
"13585",700,525,6.3,0.062,36.9,55.546,0.35,0.842,2,"FZ","validation"
"13586",700,575,0.9,0.058,7.9,75.888,14.6,0.654,3,"UM","validation"
"13587",725,250,0.7,0.06,8.4,69.454,20.4,0.986,3,"UM","validation"
"13588",725,350,15.6,0.006,11,73.061,0.21,0.123,1,"FZ","validation"
"13589",725,400,1,0.268,17.4,74.582,4.7,2.05,1,"SA","validation"
"13590",725,500,2,0.081,13.9,75.489,7.37,1.16,1,"SM","validation"
"13591",750,175,0.6,0.014,5,85.525,8.28,0.581,3,"UM","validation"
"13592",750,275,2.9,0.066,24.7,69.784,1.33,1.22,2,"FZ","validation"
"13593",750,325,6.8,0.025,27.3,65.372,0.15,0.353,1,"FZ","validation"
"13594",750,375,6.7,0.025,38.2,54.616,0.15,0.309,1,"FZ","validation"
"13595",750,425,0.32,0.015,8.32,78.831,11.9,0.614,0,"SM","validation"
"13596",750,475,0.4,0.017,7.8,81.05,10.3,0.433,3,"UM","validation"
"13597",750,525,6.5,0.262,38.7,53.058,0.38,1.1,1,"SM","validation"
"13598",750,575,10.2,0.024,28.9,60.267,0.17,0.439,1,"FZ","validation"
"13599",750,675,1.6,0.014,8,76.066,13.9,0.42,2,"FZ","validation"
"13600",775,150,0.8,0.014,7.1,82.732,8.73,0.624,3,"UM","validation"
"13601",775,200,0.8,0.045,7.3,78.477,12.5,0.878,1,"SA","validation"
"13602",775,300,9.3,0.02,34.8,55.376,0.11,0.394,1,"FZ","validation"
"13603",775,350,8,0.021,31.7,59.922,0.11,0.247,1,"FZ","validation"
"13604",775,400,9.4,0.03,30.7,59.168,0.3,0.402,1,"FZ","validation"
"13605",775,450,0.7,0.026,12,74.615,12.1,0.559,3,"UM","validation"
"13606",775,550,5.5,0.474,31.9,59.926,0.78,1.42,1,"SA","validation"
"13607",775,650,11.6,0.018,28,59.644,0.27,0.468,1,"FZ","validation"
"13608",800,225,1.2,0.029,11.7,71.415,14.8,0.856,1,"SM","validation"
"13609",800,275,10.7,0.03,27.2,61.559,0.22,0.291,1,"FZ","validation"
"13610",800,325,9.3,0.015,32.8,57.468,0.16,0.257,1,"FZ","validation"
"13611",800,375,18.3,0.006,8.3,73.055,0.17,0.169,1,"FZ","validation"
"13612",800,425,1.1,0.135,14.9,70.885,11.7,1.28,1,"SM","validation"
"13613",800,525,2.81,0.07,23.58,67.09,5.08,1.37,0,"SA","validation"
"13614",800,575,1.6,0.062,17.4,67.238,12.7,1,1,"SM","validation"
"13615",800,625,6.7,0.151,29.2,60.869,1.61,1.47,1,"SM","validation"
"13616",800,675,2.5,0.015,13.1,78.116,6,0.269,1,"SM","validation"
"13617",825,250,7.5,0.177,39.3,51.776,0.27,0.977,1,"FZ","validation"
"13618",825,350,5.01,0.041,38.37,56.063,0.09,0.426,0,"FZ","validation"
"13619",825,400,12.5,0.012,15.3,71.753,0.22,0.215,3,"SA","validation"
"13620",825,450,1.1,0.02,10.3,73.049,15.1,0.431,3,"UM","validation"
"13621",825,500,0.5,0.014,8.4,77.169,13.7,0.217,2,"SM","validation"
"13622",825,550,1.3,0.034,16.7,67.633,13.5,0.833,2,"SM","validation"
"13623",825,600,3.1,0.049,16.1,71.886,7.9,0.965,1,"SM","validation"
"13624",825,650,2.19,0.079,14.15,73.211,9.1,1.27,0,"SA","validation"
"13625",850,225,0.6,0.03,7.2,71.893,19.6,0.677,1,"SM","validation"
"13626",850,275,4.2,0.033,45.3,49.922,0.13,0.415,1,"FZ","validation"
"13627",850,325,9.6,0.013,37.4,52.46,0.13,0.397,1,"FZ","validation"
"13628",850,375,10.5,0.016,25.4,63.34,0.26,0.484,1,"FZ","validation"
"13629",850,475,0.4,0.016,7.9,69.919,21.4,0.365,2,"UM","validation"
"13630",850,525,0.5,0.015,9.6,72.028,17.5,0.357,0,"UM","validation"
"13631",850,575,0.5,0.023,11.4,81.99,5.6,0.487,3,"UM","validation"
"13632",850,625,1,0.058,17.2,71.283,9.59,0.869,2,"SM","validation"
"13633",875,150,0.4,0.019,10,75.258,13.7,0.623,3,"UM","validation"
"13634",875,200,1.6,0.043,13.2,74.002,10.3,0.855,1,"SM","validation"
"13635",875,250,8.8,0.041,35.4,55.162,0.2,0.397,1,"FZ","validation"
"13636",875,300,9.1,0.018,34.1,56.238,0.11,0.434,1,"FZ","validation"
"13637",875,350,8.2,0.017,39.1,51.828,0.31,0.545,2,"SA","validation"
"13638",875,400,7.4,0.012,40,51.958,0.17,0.46,3,"FZ","validation"
"13639",875,450,2.3,0.036,16.6,77.774,1.97,1.32,2,"SM","validation"
"13640",875,600,1,0.028,9.7,77.23,11.5,0.542,2,"SM","validation"
"13641",900,175,0.3,0.018,9.9,68.86,20.1,0.822,1,"SM","validation"
"13642",900,225,1.1,0.051,8.2,81.461,8.42,0.768,1,"SM","validation"
"13643",900,275,7.24,0.034,32.92,59.464,0.08,0.262,0,"FZ","validation"
"13644",900,325,7.5,0.024,38.6,53.072,0.2,0.604,2,"FZ","validation"
"13645",900,425,3.2,0.05,23.8,69.67,1.77,1.51,1,"SM","validation"
"13646",900,575,0.93,0.024,11.95,74.916,11.76,0.42,0,"SM","validation"
"13647",900,625,5.6,0.014,18,69.535,6.48,0.371,1,"SM","validation"
"13648",925,150,0.7,0.018,7.6,76.395,14.5,0.787,1,"SM","validation"
"13649",925,200,0.5,0.081,14.1,68.739,15.4,1.18,2,"SM","validation"
"13650",925,250,7.8,0.062,44.8,46.875,0.08,0.383,3,"SM","validation"
"13651",925,300,6.2,0.035,33.4,59.029,0.36,0.976,2,"FZ","validation"
"13652",925,350,2.5,0.055,28.9,65.985,1.24,1.32,1,"FZ","validation"
"13653",925,400,6,0.012,42.3,51.053,0.19,0.445,2,"FZ","validation"
"13654",925,450,1.6,0.064,12.8,76.516,8.2,0.82,1,"SM","validation"
"13655",925,500,0.9,0.034,13.1,73.457,11.9,0.609,2,"SM","validation"
"13656",925,550,4.5,0.012,50,45.188,0.1,0.2,0,"FZ","validation"
"13657",925,600,6.5,0.017,36.3,56.385,0.36,0.438,1,"FZ","validation"
"13658",950,225,7.3,0.045,40.9,51.316,0.1,0.339,2,"FZ","validation"
"13659",950,275,5.2,0.537,39.2,52.863,0.59,1.61,2,"FZ","validation"
"13660",950,325,7.3,0.029,38.2,53.375,0.29,0.806,3,"FZ","validation"
"13661",950,375,5.3,0.026,32.9,60.528,0.78,0.466,1,"SM","validation"
"13662",950,475,1.8,0.143,13.6,69.027,14.4,1.03,2,"SM","validation"
"13663",950,525,0.9,0.033,9.7,68.546,20.3,0.521,2,"SM","validation"
"13664",950,575,6.6,0.036,42.7,49.569,0.45,0.645,1,"FZ","validation"
"13665",950,625,1.6,0.012,12.8,74.192,11,0.396,3,"FZ","validation"
"13666",975,150,0.8,0.02,7.6,74.87,15.8,0.91,1,"SM","validation"
"13667",975,200,10.3,0.183,37.4,51.579,0.11,0.428,1,"FZ","validation"
"13668",975,250,9.4,0.049,37.7,51.709,0.27,0.872,2,"FZ","validation"
"13669",975,350,7.6,0.02,36.6,55.066,0.19,0.524,1,"FZ","validation"
"13670",975,400,2.4,0.036,21.1,73.804,1.57,1.09,1,"SM","validation"
"13671",975,450,2.9,0.04,43.9,51.628,0.72,0.812,1,"FZ","validation"
"13672",975,500,2.93,0.09,18.1,71.3,6.57,1.01,0,"SM","validation"
"13673",975,600,9.4,0.021,30.7,59.008,0.33,0.541,1,"SA","validation"
"13674",975,650,1.96,0.008,6.49,85.287,6.05,0.205,0,"SM","validation"
"13675",1000,125,0.6,0.017,7.3,74.072,17.3,0.711,2,"SM","validation"
"13676",1000,175,2.4,0.218,24.5,66.062,4.03,2.79,1,"SA","validation"
"13677",1000,225,3.4,0.162,27.6,59.818,6.48,2.54,1,"SM","validation"
"13678",1000,275,1.9,0.086,14.1,68.704,13.9,1.31,1,"SM","validation"
"13679",1000,325,10.3,0.015,28.7,60.29,0.21,0.485,2,"FZ","validation"
"13680",1000,375,2,0.046,17.1,77.784,1.59,1.48,1,"SM","validation"
"13681",1000,425,2.1,0.105,15.6,69.875,11.3,1.02,2,"SM","validation"
"13682",1000,475,4.4,0.047,31.4,61.753,1.33,1.07,1,"FZ","validation"
"13683",1000,525,3.1,0.06,14.4,72.805,8.77,0.865,2,"UM","validation"
"13684",1000,575,5.5,0.027,22.8,67.433,2.91,1.33,1,"FZ","validation"
"13685",1000,625,8.7,0.032,33.8,56.255,0.54,0.673,1,"FZ","validation"
"13686",1000,675,6.9,0.067,44.2,47.849,0.35,0.634,1,"FZ","validation"
"13687",1025,100,2.1,0.014,8.3,74.782,14.2,0.604,1,"SM","validation"
"13688",1025,150,1,0.051,15,68.149,14.3,1.5,1,"SM","validation"
"13689",1025,200,3.3,0.201,25.5,63.869,4.9,2.23,1,"SM","validation"
"13690",1025,300,1.1,0.027,11.2,75.481,11.4,0.792,2,"SM","validation"
"13691",1025,400,3.2,0.049,29.5,62.541,3.11,1.6,1,"SA","validation"
"13692",1025,450,4.3,0.016,14.3,75.103,5.43,0.851,2,"SM","validation"
"13693",1025,650,5,0.02,17.3,77.268,0.2,0.212,1,"FZ","validation"
"13694",1025,700,6.5,0.012,32.2,60.717,0.21,0.361,1,"FZ","validation"
"13695",1050,125,0.6,0.028,11.4,71.442,15.3,1.23,1,"SM","validation"
"13696",1050,175,2.1,0.089,22.7,65.001,8.44,1.67,1,"SM","validation"
"13697",1050,225,5.3,0.106,40.2,52.174,1.05,1.17,1,"FZ","validation"
"13698",1050,275,2.3,0.173,19.6,65.047,11.7,1.18,1,"SM","validation"
"13699",1050,325,2.5,0.063,15.9,70.577,9.4,1.56,1,"SM","validation"
"13700",1050,375,1,0.048,10.6,69.813,17.6,0.939,1,"SM","validation"
"13701",1050,425,1.96,0.026,12.99,78.882,5.4,0.742,0,"SM","validation"
"13702",1050,475,1.8,0.07,14.5,69.924,13,0.706,1,"SM","validation"
"13703",1050,525,4,0.019,10.5,76.441,8.59,0.45,1,"SM","validation"
"13704",1050,625,9.5,0.012,34.8,55.205,0.25,0.233,1,"FZ","validation"
"13705",1050,675,6.2,0.11,36.2,56.696,0.15,0.644,1,"FZ","validation"
"13706",1075,100,0.4,0.019,7.1,70.926,20.6,0.955,3,"SM","validation"
"13707",1075,150,1.7,0.161,26,67.149,3.01,1.98,1,"SM","validation"
"13708",1075,250,4.1,0.297,26.3,65.063,2.46,1.78,1,"SA","validation"
"13709",1075,350,2.8,0.191,27,65.049,2.94,2.02,1,"SA","validation"
"13710",1075,400,5.2,0.062,37.2,55.288,1.02,1.23,1,"FZ","validation"
"13711",1075,450,2.8,0.118,14.9,72.662,8.4,1.12,1,"SM","validation"
"13712",1075,500,1.5,0.021,9,71.279,17.7,0.5,1,"SM","validation"
"13713",1075,600,11.3,0.018,24.1,64.047,0.22,0.315,3,"FZ","validation"
"13714",1075,650,4,0.572,21.6,69.808,2.39,1.63,1,"SA","validation"
"13715",1075,750,1.9,0.019,8.5,73.906,15.3,0.375,3,"UM","validation"
"13716",1100,125,1,0.069,17.8,67.681,11.7,1.75,1,"SM","validation"
"13717",1100,225,1.6,0.025,11.6,67.139,18.9,0.736,3,"SM","validation"
"13718",1100,275,1.3,0.03,17.2,65.095,15.5,0.875,1,"SM","validation"
"13719",1100,325,0.9,0.028,12.7,77.332,7.91,1.13,1,"SM","validation"
"13720",1100,375,5.9,0.045,42.7,50.005,0.34,1.01,2,"FZ","validation"
"13721",1100,425,1.2,0.019,8.5,73.381,15.9,1,2,"SM","validation"
"13722",1100,475,2.4,0.023,16.4,73.975,6.33,0.872,1,"SM","validation"
"13723",1100,525,1.5,0.015,9.8,73.861,14.4,0.424,0,"UM","validation"
"13724",1100,575,6.7,0.152,25.6,64.328,2.09,1.13,1,"SA","validation"
"13725",1100,625,6.5,0.169,33.1,58.341,0.96,0.93,1,"FZ","validation"
"13726",1100,775,1.9,0.008,5.4,80.319,12.2,0.173,1,"SM","validation"
"13727",1125,100,1.2,0.021,7.5,76.05,14.5,0.729,3,"FZ","validation"
"13728",1125,150,1.8,0.136,23.9,63.894,7.78,2.49,1,"SM","validation"
"13729",1125,200,0.6,0.026,10,74.5,14.2,0.674,1,"SM","validation"
"13730",1125,350,1,0.087,16.5,73.323,7.61,1.48,1,"SM","validation"
"13731",1125,400,6.4,0.199,35.2,55.711,1.24,1.25,1,"FZ","validation"
"13732",1125,450,3.3,0.129,38.1,55.901,1.29,1.28,1,"FZ","validation"
"13733",1125,500,1.72,0.039,18.13,71.541,7.58,0.99,0,"SM","validation"
"13734",1125,550,5.5,0.047,34.2,59.316,0.32,0.617,1,"FZ","validation"
"13735",1125,600,6.5,0.056,32.7,59.137,0.89,0.717,1,"FZ","validation"
"13736",1125,650,7.7,0.042,39.2,52.617,0.18,0.261,1,"FZ","validation"
"13737",1150,175,5.6,0.128,40.3,52.89,0.32,0.762,1,"FZ","validation"
"13738",1150,225,1.4,0.031,19.2,66.249,12,1.12,1,"SM","validation"
"13739",1150,325,1.2,0.081,20.2,71.889,5.41,1.22,1,"SA","validation"
"13740",1150,425,3,0.133,18.6,66.957,9.54,1.77,1,"SM","validation"
"13741",1150,475,3.1,0.102,33.6,60.218,1.51,1.47,1,"SA","validation"
"13742",1150,525,10.2,0.025,5.9,79.754,3.63,0.491,1,"SM","validation"
"13743",1150,575,5,0.297,31.1,61.443,0.93,1.23,1,"FZ","validation"
"13744",1150,675,1.7,0.038,15.1,67.123,15.2,0.839,1,"SM","validation"
"13745",1175,100,1,0.021,10.7,68.046,19.3,0.933,1,"SM","validation"
"13746",1175,150,0.9,0.038,13.1,69.902,14.7,1.36,1,"SM","validation"
"13747",1175,200,3,0.188,47,48.062,0.64,1.11,1,"FZ","validation"
"13748",1175,250,1.2,0.025,9.5,73.52,14.8,0.955,1,"UM","validation"
"13749",1175,350,7.7,0.033,31.7,60.16,0.11,0.297,2,"FZ","validation"
"13750",1175,400,5.9,0.022,29.2,64.486,0.11,0.282,1,"FZ","validation"
"13751",1175,450,4,0.198,31.4,61.152,1.85,1.4,1,"SA","validation"
"13752",1175,500,1.4,0.017,8.3,77.97,12,0.313,1,"SM","validation"
